Wavelength,Flux,BestFit,SkyFlux
3809.781,8.125,14.414,7.578
3810.659,9.643,14.172,8.125
3811.536,9.532,14.601,8.511
3812.413,9.352,15.593,8.795
3813.292,9.661,16.784,8.930
3814.169,8.711,15.385,8.947
3815.048,7.849,14.388,8.886
3815.926,9.081,14.576,8.762
3816.806,9.597,14.859,8.541
3817.684,12.747,14.977,8.283
3818.562,16.441,16.266,7.901
3819.443,12.469,15.080,7.594
3820.322,12.686,16.401,7.262
3821.202,12.073,16.959,6.923
3822.082,11.787,14.613,6.626
3822.963,12.671,14.051,6.423
3823.842,10.973,13.780,6.290
3824.724,9.626,14.848,6.263
3825.604,8.756,15.653,6.305
3826.484,7.045,15.176,6.490
3827.366,8.583,14.718,6.842
3828.247,7.754,15.776,7.305
3829.130,12.531,14.638,7.936
3830.010,15.221,15.421,8.746
3830.894,12.689,14.846,9.797
3831.775,10.122,13.839,10.764
3832.656,9.575,14.251,11.241
3833.540,13.280,14.819,10.573
3834.422,8.779,14.625,9.455
3835.306,10.910,14.404,8.267
3836.189,9.957,13.800,7.473
3837.073,8.025,13.775,7.049
3837.956,11.658,14.623,6.846
3838.839,12.040,14.486,6.759
3839.724,7.858,12.215,6.732
3840.608,9.657,12.908,6.640
3841.493,11.781,13.986,6.622
3842.377,12.171,13.764,6.771
3843.263,15.186,13.503,7.032
3844.147,8.971,14.691,7.295
3845.031,10.857,14.154,7.669
3845.918,11.143,12.921,7.868
3846.803,9.034,12.278,7.639
3847.690,9.132,12.309,7.001
3848.575,11.859,12.870,6.259
3849.463,15.508,13.895,5.942
3850.348,12.066,14.038,6.111
3851.234,12.904,13.005,6.486
3852.122,12.701,12.961,6.593
3853.008,12.558,14.685,6.054
3853.897,12.986,15.277,5.659
3854.783,14.572,12.055,5.640
3855.672,13.315,12.840,5.725
3856.559,9.742,13.375,5.836
3857.446,10.494,13.395,5.668
3858.336,13.006,14.081,5.133
3859.223,9.940,14.760,4.464
3860.114,5.991,13.603,4.029
3861.001,12.834,13.239,4.187
3861.892,9.840,13.709,4.993
3862.780,7.922,14.249,5.797
3863.669,9.920,13.187,6.093
3864.560,10.236,11.591,5.563
3865.449,10.512,12.899,5.037
3866.340,11.419,14.189,4.866
3867.230,8.452,13.281,5.140
3868.121,8.462,12.640,5.577
3869.011,8.016,12.486,5.824
3869.901,10.660,12.317,5.527
3870.794,9.667,12.441,4.838
3871.684,8.343,11.684,4.135
3872.577,11.133,13.675,3.930
3873.468,13.177,13.520,4.343
3874.361,10.426,12.312,5.049
3875.252,11.264,12.770,5.635
3876.144,17.405,13.463,5.755
3877.038,12.332,12.521,5.428
3877.930,8.826,11.934,4.971
3878.824,8.861,11.289,4.631
3879.716,9.735,11.101,4.505
3880.611,9.717,11.847,4.519
3881.504,9.921,12.387,4.521
3882.396,11.409,11.247,4.593
3883.292,11.096,12.398,4.683
3884.185,8.528,12.472,4.758
3885.081,7.163,11.080,4.748
3885.975,6.743,10.320,4.606
3886.871,9.346,11.080,4.386
3887.765,10.510,11.380,4.145
3888.659,10.285,11.622,3.945
3889.556,10.979,12.191,3.856
3890.451,12.008,11.974,3.860
3891.348,12.170,10.981,3.941
3892.243,12.805,11.257,4.043
3893.141,12.459,12.438,4.211
3894.036,12.921,11.374,4.409
3894.934,11.399,12.025,4.588
3895.830,10.950,13.079,4.855
3896.726,14.741,12.275,5.238
3897.625,13.557,11.194,5.612
3898.521,9.655,10.613,5.704
3899.421,10.612,10.489,5.771
3900.318,7.924,11.719,5.821
3901.217,8.312,12.730,5.969
3902.115,7.395,11.982,6.069
3903.012,10.093,10.321,6.183
3903.912,9.850,9.424,6.467
3904.810,8.331,10.088,7.348
3905.711,8.684,10.416,8.815
3906.609,9.308,10.268,10.223
3907.510,10.608,10.712,10.743
3908.409,14.555,11.924,10.633
3909.308,13.388,11.995,10.664
3910.210,9.878,11.261,10.839
3911.109,9.885,11.423,10.691
3912.011,10.178,11.883,10.622
3912.911,12.662,11.796,10.541
3913.813,12.391,11.724,10.014
3914.714,11.910,11.628,9.123
3915.614,13.547,12.188,8.410
3916.517,13.752,12.863,7.977
3917.418,10.570,12.733,7.563
3918.322,7.541,11.994,7.117
3919.223,14.345,12.227,7.158
3920.127,11.910,13.730,7.085
3921.029,12.196,13.035,6.703
3921.931,9.791,11.061,6.396
3922.835,9.605,10.726,6.202
3923.737,11.612,11.784,5.988
3924.642,11.564,11.122,5.745
3925.545,10.250,11.931,5.639
3926.450,10.306,11.128,5.688
3927.354,11.476,11.184,5.730
3928.257,13.602,11.994,5.536
3929.163,11.538,11.669,5.139
3930.067,8.914,10.172,4.786
3930.973,6.061,10.626,4.616
3931.877,8.288,11.711,4.448
3932.784,11.701,11.670,4.264
3933.689,9.913,11.409,4.083
3934.594,8.939,11.786,3.922
3935.501,10.524,11.747,3.801
3936.406,8.814,11.220,3.892
3937.314,13.100,11.544,4.263
3938.220,8.428,11.209,4.851
3939.128,7.265,10.627,5.676
3940.034,6.826,10.827,6.656
3940.941,7.982,11.075,7.488
3941.849,8.669,9.681,7.881
3942.756,8.192,10.982,7.984
3943.665,11.702,12.090,7.960
3944.573,6.261,11.760,8.031
3945.482,10.350,11.444,7.782
3946.390,12.944,12.448,7.597
3947.298,10.346,12.569,7.446
3948.208,10.272,11.380,7.379
3949.116,12.567,11.000,7.321
3950.027,10.215,11.500,7.197
3950.936,7.114,11.725,7.019
3951.847,11.636,11.107,6.934
3952.756,11.522,9.990,6.772
3953.665,11.385,9.627,6.448
3954.577,11.895,10.504,6.405
3955.487,9.150,10.530,6.383
3956.399,11.463,9.412,6.165
3957.309,11.980,9.802,5.895
3958.221,9.752,9.762,5.602
3959.132,10.941,10.268,5.433
3960.045,13.734,10.748,5.528
3960.956,11.702,10.885,5.797
3961.867,11.385,10.511,5.837
3962.781,9.856,9.758,5.483
3963.692,10.524,10.523,4.824
3964.606,10.439,11.373,4.197
3965.519,10.246,11.640,3.762
3966.433,12.398,11.215,3.513
3967.345,12.819,10.483,3.500
3968.258,11.072,10.300,3.380
3969.173,11.273,10.980,3.167
3970.086,12.412,9.906,2.945
3971.002,12.331,9.808,2.963
3971.915,11.088,10.626,3.660
3972.831,10.201,10.226,4.578
3973.745,8.433,8.652,5.584
3974.659,10.273,10.420,6.257
3975.576,11.032,10.241,6.459
3976.490,9.994,10.643,6.416
3977.407,11.697,11.192,6.614
3978.323,12.583,10.465,6.767
3979.240,7.786,9.972,6.817
3980.155,13.130,10.943,6.764
3981.071,13.140,10.008,6.847
3981.989,13.525,9.555,6.910
3982.905,11.943,10.503,6.886
3983.823,10.840,11.422,6.896
3984.740,12.681,10.952,6.796
3985.659,13.414,10.692,6.288
3986.576,11.715,10.248,5.699
3987.493,11.734,9.438,5.531
3988.412,12.478,9.505,6.138
3989.330,11.154,9.855,7.047
3990.250,9.015,8.364,7.125
3991.168,11.110,9.379,6.616
